iter	Passed	Remaining
412	3338	4745
413	3345	4735
414	3352	4726
415	3359	4715
416	3367	4708
417	3375	4699
418	3383	4691
419	3390	4682
420	3399	4675
421	3405	4664
422	3413	4656
423	3420	4647
424	3429	4639
425	3436	4630
426	3445	4623
427	3451	4612
428	3459	4604
429	3466	4595
430	3473	4586
431	3481	4578
432	3489	4568
433	3497	4561
434	3503	4550
435	3512	4543
436	3518	4532
437	3526	4524
438	3533	4515
439	3539	4505
440	3548	4497
441	3554	4487
442	3564	4482
443	3572	4473
444	3580	4465
445	3587	4456
446	3596	4448
447	3602	4438
448	3611	4431
449	3616	4420
450	3626	4414
451	3633	4405
452	3643	4400
453	3649	4388
454	3657	4380
455	3663	4370
456	3672	4363
457	3679	4354
458	3685	4344
459	3693	4335
460	3700	4326
461	3709	4319
462	3714	4308
463	3723	4301
464	3729	4291
465	3737	4283
466	3744	4273
467	3751	4264
468	3760	4257
469	3767	4248
470	3774	4239
471	3782	4230
472	3792	4225
473	3799	4215
474	3808	4209
475	3814	4199
476	3823	4192
477	3829	4181
478	3837	4174
479	3845	4165
480	3854	4159
481	3862	4150
482	3871	4143
483	3877	4133
484	3886	4126
485	3892	4116
486	3900	4108
487	3907	4099
488	3914	4090
489	3922	4082
490	3929	4073
491	3937	4065
492	3943	4055
493	3954	4050
494	3959	4039
495	3970	4034
496	3976	4024
497	3985	4017
498	3992	4008
499	4002	4002
500	4009	3993
501	4018	3986
502	4024	3976
503	4035	3971
504	4042	3962
505	4051	3955
506	4057	3945
507	4067	3938
508	4073	3929
509	4082	3922
510	4089	3913
511	4098	3906
512	4104	3896
513	4113	3889
514	4119	3879
515	4126	3870
516	4134	3862
517	4141	3853
518	4150	3846
519	4157	3837
520	4167	3831
521	4174	3822
522	4183	3815
523	4192	3808
524	4200	3800
525	4207	3791
526	4216	3784
527	4224	3776
528	4232	3768
529	4241	3761
530	4250	3753
531	4257	3745
532	4266	3737
533	4274	3729
534	4282	3722
535	4289	3713
536	4298	3706
537	4305	3697
538	4314	3689
539	4320	3680
540	4329	3672
541	4334	3662
542	4344	3656
543	4349	3646
544	4358	3638
545	4365	3629
546	4373	3621
547	4381	3613
548	4390	3606
549	4397	3597
550	4404	3588
551	4411	3580
552	4417	3570
553	4426	3563
554	4434	3555
555	4444	3549
556	4450	3539
557	4460	3533
558	4466	3523
559	4476	3517
560	4483	3508
561	4492	3501
562	4498	3491
563	4507	3484
564	4513	3475
565	4522	3467
566	4529	3459
567	4538	3451
568	4545	3442
569	4553	3434
570	4559	3425
571	4566	3417
572	4575	3409
573	4583	3401
574	4592	3394
575	4601	3387
576	4607	3378
577	4614	3368
578	4622	3361
579	4629	3352
580	4638	3345
581	4645	3336
582	4655	3329
583	4662	3320
584	4671	3314
585	4677	3304
586	4687	3297
587	4693	3288
588	4705	3283
589	4711	3274
590	4721	3267
591	4728	3258
592	4739	3252
593	4748	3245
594	4757	3238
595	4767	3231
596	4776	3224
597	4786	3217
598	4793	3208
599	4804	3202
600	4810	3193
601	4819	3186
602	4825	3177
603	4835	3170
604	4842	3161
605	4852	3154
606	4859	3146
607	4871	3140
608	4878	3132
609	4887	3124
610	4895	3116
611	4904	3109
612	4910	3099
613	4920	3093
614	4931	3087
615	4938	3078
616	4947	3071
617	4955	3063
618	4965	3056
619	4972	3047
620	4983	3041
621	4992	3034
622	5001	3026
623	5011	3019
624	5017	3010
625	5026	3003
626	5033	2994
627	5040	2985
628	5049	2978
629	5055	2969
630	5064	2961
631	5072	2953
632	5080	2945
633	5088	2937
634	5097	2929
635	5103	2920
636	5112	2913
637	5118	2904
638	5127	2896
639	5133	2887
640	5142	2879
641	5148	2871
642	5155	2862
643	5164	2855
644	5171	2846
645	5179	2838
646	5191	2832
647	5198	2823
648	5206	2816
649	5213	2807
650	5222	2799
651	5229	2791
652	5237	2783
653	5244	2774
654	5255	2768
655	5261	2759
656	5271	2752
657	5277	2743
658	5285	2735
659	5292	2726
660	5299	2717
661	5307	2709
662	5313	2700
663	5322	2693
664	5328	2684
665	5337	2676
666	5343	2667
667	5352	2660
668	5358	2651
669	5367	2643
670	5374	2635
671	5384	2628
672	5391	2619
673	5399	2611
674	5406	2602
675	5414	2595
676	5421	2586
677	5428	2578
678	5437	2570
679	5444	2562
680	5454	2555
681	5461	2546
682	5469	2538
683	5476	2530
684	5485	2522
685	5491	2513
686	5501	2506
687	5507	2497
688	5516	2490
689	5522	2481
690	5531	2473
691	5537	2464
692	5546	2456
693	5552	2448
694	5558	2439
695	5567	2431
696	5573	2422
697	5583	2415
698	5589	2407
699	5597	2399
700	5605	2390
701	5614	2383
702	5620	2374
703	5629	2366
704	5635	2358
705	5645	2350
706	5651	2342
707	5665	2336
708	5671	2327
709	5681	2320
710	5687	2311
711	5696	2304
712	5701	2295
713	5712	2288
714	5717	2279
715	5726	2271
716	5734	2263
717	5743	2255
718	5750	2247
719	5759	2239
720	5766	2231
721	5773	2223
722	5781	2215
723	5790	2207
724	5799	2199
725	5813	2194
726	5825	2187
727	5831	2178
728	5842	2172
729	5849	2163
730	5858	2155
731	5865	2147
732	5875	2140
733	5881	2131
734	5890	2123
735	5896	2115
736	5904	2107
737	5911	2098
738	5918	2090
739	5926	2082
740	5932	2073
741	5941	2065
742	5947	2057
743	5956	2049
744	5962	2041
745	5973	2033
746	5980	2025
747	5989	2017
748	5997	2009
749	6006	2002
750	6012	1993
751	6020	1985
752	6026	1976
753	6033	1968
754	6041	1960
755	6048	1952
756	6057	1944
757	6065	1936
758	6073	1928
759	6080	1920
760	6088	1912
761	6094	1903
762	6104	1896
763	6109	1887
764	6119	1879
765	6124	1871
766	6134	1863
767	6140	1854
768	6148	1846
769	6155	1838
770	6162	1830
771	6172	1822
772	6179	1814
773	6188	1807
774	6196	1799
775	6204	1790
776	6211	1782
777	6219	1774
778	6225	1766
779	6234	1758
780	6240	1749
781	6249	1742
782	6256	1733
783	6266	1726
784	6274	1718
785	6283	1710
786	6289	1702
787	6299	1694
788	6306	1686
789	6315	1678
790	6320	1670
791	6328	1661
792	6335	1653
793	6341	1645
794	6349	1637
795	6355	1628
796	6364	1621
797	6371	1612
798	6380	1605
799	6387	1596
800	6397	1589
801	6405	1581
802	6413	1573
803	6420	1565
804	6429	1557
805	6434	1548
806	6444	1541
807	6449	1532
808	6458	1524
809	6466	1516
810	6474	1508
811	6481	1500
812	6491	1493
813	6497	1484
814	6504	1476
815	6512	1468
816	6518	1460
817	6527	1452
818	6533	1443
819	6541	1435
820	6547	1427
821	6555	1419
822	6562	1411
823	6570	1403
824	6577	1395
825	6587	1387
826	6595	1379
827	6602	1371
828	6610	1363
829	6616	1355
830	6625	1347
831	6631	1339
832	6641	1331
833	6647	1323
834	6658	1315
835	6665	1307
836	6675	1299
837	6682	1291
838	6691	1283
839	6697	1275
840	6706	1267
841	6711	1259
842	6722	1251
843	6728	1243
844	6738	1236
845	6744	1227
846	6753	1219
847	6760	1211
848	6771	1204
849	6777	1196
850	6787	1188
851	6799	1181
852	6814	1174
853	6827	1167
854	6841	1160
855	6855	1153
856	6864	1145
857	6873	1137
858	6890	1131
859	6902	1123
