iter	MultiClass
203	1.038068615
204	1.03791972
205	1.037814019
206	1.037714242
207	1.037573284
208	1.037434778
209	1.037320713
210	1.03717193
211	1.037040884
212	1.036927684
213	1.036853298
214	1.0367491
215	1.036635652
216	1.036524098
217	1.036380686
218	1.036258299
219	1.036137855
220	1.036027232
221	1.035944495
222	1.03580106
223	1.035723434
224	1.035602878
225	1.035463613
226	1.03533211
227	1.035232385
228	1.035126609
229	1.035012333
230	1.034863215
231	1.03476665
232	1.03463165
233	1.034534927
234	1.034397453
235	1.034296955
236	1.034217344
237	1.034129156
238	1.033949859
239	1.033865806
240	1.033754026
241	1.033614529
242	1.03351379
243	1.033381675
244	1.033281939
245	1.033180148
246	1.033091609
247	1.032897957
248	1.032805273
249	1.032666723
250	1.032572722
251	1.032459674
252	1.032362221
253	1.03227851
254	1.03219056
255	1.032054458
256	1.031963639
257	1.031849074
258	1.031721337
259	1.031607236
260	1.031471897
261	1.031408226
262	1.031300985
263	1.031161351
264	1.030981259
265	1.030836907
266	1.030722095
267	1.030609318
268	1.030526462
269	1.030393853
270	1.03021236
271	1.030118565
272	1.030015475
273	1.029903526
274	1.029755669
275	1.029614255
276	1.029477451
277	1.029367037
278	1.029259314
279	1.029105843
280	1.029001632
281	1.028876626
282	1.028773817
283	1.028689717
284	1.028579164
285	1.028458315
286	1.028326154
287	1.028214299
288	1.028056002
289	1.027967525
290	1.027879575
291	1.027761996
292	1.027662812
293	1.027587534
294	1.027494377
295	1.02739573
296	1.02726997
297	1.027140862
298	1.027038023
299	1.026944533
300	1.026878054
301	1.026754549
302	1.026654438
303	1.026537285
304	1.026429237
305	1.026296176
306	1.026232805
307	1.026111923
308	1.026030029
309	1.025942629
310	1.02583748
311	1.025768862
312	1.025690583
313	1.025569312
314	1.025484887
315	1.025382516
316	1.025267903
317	1.025153074
318	1.025049933
319	1.024947205
320	1.024833176
321	1.024762769
322	1.02463026
323	1.024525257
324	1.024440243
325	1.024345124
326	1.02423065
327	1.024137241
328	1.024016063
329	1.023840421
330	1.023741245
331	1.023639777
332	1.023546902
333	1.023410079
334	1.02330264
335	1.02319693
336	1.023078701
337	1.022971953
338	1.022883716
339	1.02280964
340	1.022697826
341	1.022564943
342	1.022481517
343	1.022356499
344	1.022234562
345	1.022137151
346	1.022042318
347	1.021966342
348	1.021869601
349	1.0217664
350	1.021673048
351	1.021581288
352	1.021470745
353	1.021373476
354	1.021283944
355	1.021229288
356	1.021149769
357	1.021063853
358	1.020972984
359	1.020875997
360	1.020772103
361	1.020680209
362	1.020567829
363	1.020496806
364	1.020444907
365	1.020364793
366	1.020265364
367	1.020194592
368	1.020091226
369	1.020017665
370	1.019939312
371	1.019852376
372	1.01976437
373	1.019673422
374	1.019592042
375	1.01947433
376	1.01940604
377	1.019316468
378	1.0192543
379	1.019170328
380	1.019049632
381	1.018962278
382	1.018880917
383	1.018786195
384	1.018739779
385	1.018655885
386	1.01851938
387	1.018416646
388	1.018289759
389	1.018227706
390	1.018121462
391	1.018024719
392	1.017931429
393	1.017832076
394	1.017769316
395	1.017640754
396	1.017564017
397	1.017477296
398	1.017385072
399	1.017292313
400	1.017210971
401	1.017123078
402	1.017019377
403	1.016902995
404	1.016812284
405	1.016733749
406	1.016668359
407	1.016553515
408	1.016430401
409	1.016354478
410	1.016280047
411	1.016159532
412	1.016079244
413	1.016007826
414	1.01592645
415	1.015817342
416	1.01574744
417	1.015671584
418	1.015575187
419	1.015410513
420	1.015328476
421	1.01523582
422	1.015140452
423	1.015092743
424	1.015000338
425	1.014918889
426	1.014784302
427	1.014676623
428	1.014591831
429	1.014473444
430	1.014335553
431	1.014195533
432	1.01407882
433	1.014006952
434	1.013940199
435	1.013872821
436	1.013789942
437	1.013676666
438	1.013596931
439	1.013479729
440	1.013394417
441	1.013315428
442	1.013262262
443	1.013125169
444	1.01302622
445	1.012921739
446	1.012818708
447	1.012697882
448	1.012610103
449	1.012553606
450	1.012470407
451	1.012341042
452	1.012262111
453	1.012151285
454	1.012035097
455	1.011941385
456	1.01181562
457	1.011695114
458	1.011625803
459	1.011557547
460	1.011487651
461	1.011390964
462	1.011318861
463	1.011222971
464	1.011118881
465	1.010976062
466	1.010903414
467	1.010799438
468	1.010666646
469	1.010589651
470	1.010507878
471	1.010426358
472	1.010334281
473	1.010253859
474	1.010178314
475	1.010045222
476	1.009984729
477	1.009895004
478	1.009814492
479	1.009721788
480	1.009591657
481	1.009423721
482	1.009343984
483	1.009218886
484	1.009110306
485	1.009042484
486	1.008960685
487	1.008812928
488	1.008702042
489	1.008583116
490	1.008467326
491	1.008381347
492	1.008267309
493	1.008167129
494	1.008066901
495	1.007956506
496	1.007888057
497	1.007770369
498	1.007670648
499	1.007594217
500	1.007500902
501	1.007405468
502	1.007324531
503	1.00724772
504	1.007144307
505	1.007065595
506	1.006991695
507	1.006889349
508	1.006792654
509	1.006723908
510	1.006623064
511	1.00651627
512	1.006381267
513	1.006310128
514	1.00623502
515	1.006161014
516	1.00609041
517	1.006014722
518	1.005923161
519	1.005840258
520	1.005704867
521	1.005601589
522	1.005529849
523	1.005439889
524	1.005359376
525	1.00525068
526	1.005155625
527	1.00503709
528	1.004944204
529	1.004839938
530	1.004764639
531	1.004712608
532	1.004625033
533	1.004513185
534	1.00441171
535	1.004300356
536	1.004197562
537	1.004095326
538	1.004004431
539	1.003948742
540	1.003820512
541	1.003729246
542	1.003627691
543	1.003556431
544	1.003432165
545	1.003347475
546	1.003265775
547	1.003193386
548	1.003079262
549	1.002967126
550	1.002893155
551	1.002840567
552	1.002750875
553	1.002675318
554	1.002578406
555	1.002510159
556	1.002431606
557	1.002372527
558	1.00229233
559	1.002184044
560	1.002138912
561	1.002035667
562	1.001945381
563	1.001859714
564	1.001802088
565	1.001690197
566	1.001623927
567	1.00152236
568	1.001432575
569	1.001349456
570	1.001276394
571	1.001158603
572	1.001077794
573	1.000992241
574	1.000906207
575	1.000798929
576	1.000753806
577	1.000679739
578	1.000570298
579	1.000498531
580	1.000403123
581	1.000349359
582	1.000240235
583	1.000164558
584	1.000066426
585	1.000007344
586	0.9999246676
587	0.9998433054
588	0.9997371788
589	0.9996121839
590	0.9995526404
591	0.999482195
592	0.9993775887
593	0.99926911
594	0.9992001579
595	0.9991234874
596	0.9990154453
597	0.9988933372
598	0.9987924165
599	0.9987285972
600	0.9986533788
601	0.9985946169
602	0.9985365867
603	0.998426975
604	0.9983280167
605	0.9982536411
606	0.9981608745
607	0.9980748441
608	0.9980029239
609	0.9978919035
610	0.9977871484
611	0.9976974825
612	0.9976202032
613	0.9975222578
614	0.9974236421
615	0.9973260651
616	0.9972032372
617	0.9970631129
618	0.9969815547
619	0.9968903071
620	0.9967828815
621	0.9966691929
622	0.996572942
623	0.9964283736
624	0.9963407912
625	0.996275539
626	0.9962044826
627	0.9961457525
628	0.9960820045
629	0.9959793433
630	0.9959215049
631	0.9958185399
632	0.9957508251
633	0.9956659371
634	0.9955867645
635	0.9955113642
636	0.9954047
637	0.9953446485
638	0.9952400567
639	0.9951640905
640	0.9950649579
641	0.9950025889
642	0.9949270394
643	0.9948436901
644	0.9947077227
645	0.9946162884
646	0.9945023248
647	0.9944028824
648	0.9943249199
649	0.9942254531
650	0.9941088832
651	0.9940447025
652	0.9939255727
653	0.9938222836
654	0.9937492563
655	0.9936402216
656	0.9935624516
657	0.9934513143
658	0.9933831834
659	0.9933102099
660	0.9932510006
661	0.9931786431
662	0.9930514916
663	0.9929576909
664	0.9928861809
665	0.9927714236
666	0.9926717874
667	0.9925475085
668	0.9924601584
669	0.9923769617
670	0.9923080405
671	0.9922064687
672	0.9921426994
673	0.992032272
674	0.9919423967
675	0.9918442412
676	0.9917630077
677	0.9916775413
678	0.9915730835
679	0.9914954912
680	0.9914151448
681	0.9913469197
682	0.9912971145
683	0.9911742553
684	0.9911128155
685	0.9910377237
686	0.990941521
687	0.9908641015
688	0.9908181689
689	0.9907528379
690	0.9906808662
691	0.9905970078
692	0.9904921223
693	0.9904057321
694	0.9903332639
695	0.990249142
696	0.9901816781
697	0.9901024126
698	0.9900268671
699	0.9899312608
700	0.9898722278
701	0.9898050801
702	0.989755442
703	0.989678051
704	0.9895977022
705	0.9894890183
706	0.9894186297
707	0.9893495361
708	0.9892904864
709	0.9891990932
710	0.9891047378
711	0.9890300148
712	0.9889492675
713	0.9888457327
714	0.9887640139
715	0.988667065
716	0.9885695774
717	0.9885077661
718	0.9883717082
719	0.98829209
720	0.9882134576
721	0.9881440892
722	0.9880645338
723	0.9880067736
724	0.9879378329
725	0.9878485642
726	0.9877842495
727	0.9877039609
728	0.987584451
729	0.9875017591
730	0.987431037
731	0.9873742176
732	0.9872869385
733	0.9872327434
734	0.987179364
735	0.9871123734
736	0.9870194967
737	0.9869372835
738	0.9868682357
739	0.9867834827
740	0.9867016792
741	0.9865937315
742	0.9864880034
743	0.9864226231
744	0.9863358714
745	0.9862248247
746	0.9861541778
747	0.9860937441
748	0.9860419399
749	0.9859632192
750	0.9858835264
751	0.9858201518
752	0.9857646994
753	0.9856877789
754	0.9856268203
755	0.9855753812
756	0.9854849247
757	0.9853951726
758	0.9853150275
759	0.9852173518
760	0.9851544803
761	0.9850854214
762	0.9849877984
763	0.9848918789
764	0.9847754997
765	0.984679201
766	0.984585993
767	0.9845133499
768	0.9844292064
769	0.9843518179
770	0.9842675761
771	0.984157314
772	0.9840900719
773	0.9839832572
774	0.9839032443
775	0.9838284917
776	0.9837131533
777	0.9836504595
778	0.9835744394
779	0.9834946916
780	0.9834132722
781	0.9833171139
782	0.9832271003
783	0.9831509666
784	0.9830935715
785	0.9830031381
786	0.9829152626
787	0.9828326654
788	0.9827373658
789	0.9826921059
790	0.982602667
791	0.9825223817
792	0.9824682369
793	0.9824272899
794	0.9823470041
795	0.9822854676
796	0.9821331045
797	0.9820473404
798	0.9819428036
799	0.981871238
800	0.9817733432
801	0.9817061008
802	0.9816118695
803	0.9815307762
804	0.9814287166
805	0.9813512936
806	0.9812416255
807	0.9811577981
808	0.9811029395
809	0.9810194965
810	0.9809484839
811	0.9808658045
812	0.9807959606
813	0.9807209154
814	0.9806582984
815	0.9805818851
816	0.9805003688
817	0.98041172
818	0.9803103381
819	0.9802500479
820	0.9802014446
821	0.9801291313
822	0.9800570229
823	0.9799849581
824	0.9799221723
825	0.979817092
826	0.9797420648
827	0.9796553371
828	0.9795625067
829	0.9794906085
830	0.9794159703
831	0.9793153269
832	0.9792454442
833	0.9791562544
834	0.9790590017
835	0.9789731936
836	0.9789049052
837	0.9788248285
838	0.9787568329
839	0.978661985
840	0.9786093951
841	0.9785175423
842	0.9784198759
843	0.9783616087
844	0.9782504082
845	0.9781935906
846	0.9781061229
847	0.9780089983
848	0.9779478193
849	0.9778754082
850	0.9778153751
851	0.9777149927
852	0.977648116
853	0.9775629735
854	0.9775049396
855	0.9773997048
856	0.9773233251
857	0.9772501536
858	0.9771626103
859	0.977076439
860	0.9769912578
861	0.9769347414
862	0.9768436683
863	0.9767717425
864	0.9767096677
865	0.9766419814
866	0.9765663718
867	0.976500791
868	0.9764094623
869	0.9763249519
870	0.9762533197
871	0.9761856667
872	0.9761050843
873	0.9760448046
874	0.975972325
875	0.9758930273
876	0.9758149473
877	0.9757314807
878	0.9756616494
879	0.975574982
880	0.9755068868
881	0.9754500243
882	0.9753949968
883	0.9753330298
884	0.9752194697
885	0.9751631324
886	0.9750951954
887	0.9749914633
888	0.9749184492
889	0.9748756194
890	0.9748034825
891	0.9747122972
892	0.9746509559
893	0.9745749624
894	0.9744981544
895	0.9744251889
896	0.9743389108
897	0.9742754118
898	0.9742013947
899	0.9740932829
900	0.9740309371
901	0.9739531981
902	0.9738527951
903	0.9737710502
904	0.9736713825
905	0.973620339
906	0.9735300117
907	0.9734176607
908	0.9733376247
909	0.9732631925
910	0.9732162673
911	0.9731179325
912	0.9730438534
913	0.9729415085
914	0.9728627645
915	0.9728061289
916	0.9726860379
917	0.9726269614
918	0.9725804506
919	0.972466585
920	0.9723983788
921	0.9723444826
922	0.9722739817
923	0.9721914655
924	0.9721183285
925	0.9719971293
926	0.9719079671
927	0.9718333404
928	0.9717721224
929	0.9717112085
930	0.9716460108
931	0.9715813552
932	0.9715253211
933	0.9714498399
934	0.9713635276
935	0.9713184183
936	0.9712505597
937	0.9711751638
938	0.9710966618
939	0.9710604517
940	0.970979582
941	0.9708978923
942	0.9708439568
943	0.9707715735
944	0.9706819223
945	0.9705638873
946	0.9704577805
947	0.9703856168
948	0.9703147906
949	0.9702484202
950	0.9701701636
951	0.9700994672
952	0.9700320455
953	0.9699384442
954	0.9698696182
955	0.9697814764
956	0.9697065594
957	0.9696261152
958	0.9695696561
959	0.9695065706
960	0.9694164013
961	0.9693471785
962	0.9692818331
963	0.9692242384
964	0.9691417429
965	0.9690559331
966	0.9689799511
967	0.9688975559
968	0.9688259392
969	0.9687528658
970	0.968665476
971	0.9685539496
972	0.9684763506
973	0.9684007642
974	0.9683006068
975	0.9682365235
976	0.9681776447
977	0.9680693431
978	0.9680009964
979	0.9679026902
980	0.9678236135
981	0.9677546622
982	0.9676785667
983	0.9675828144
984	0.9675175
985	0.9674351927
986	0.9673799843
987	0.967315395
988	0.9672234727
989	0.9671472881
990	0.9670662256
991	0.9669716075
992	0.9668827306
993	0.9667853645
994	0.9667304767
995	0.966651379
996	0.9665404924
997	0.9664570359
998	0.9663799413
999	0.9662717028
